Frame,explicit-simd-thr,openacc-offload,openmp-offload,cuda-offload2,cuda-offload3,cuda-offload3b,explicit-simd,implicit-simd,openmp-loop,openmp-simd,thread-loop,vanilla
99,364.41624400000091555,558.58764999999971224,4192.3826320000334817,346.57732499999838183,190.76435035000000084,215.4361847499999385,1518.2893359999952736,1914.449552999997195,406.4676420000026269,1917.151216999997132,403.73522999999875083,2705.5301399999789282
100,368.22685799999987921,565.91973800000516803,4189.6266070000365289,350.3375300000009247,144.23145635000000198,177.23693649999995614,1533.2352629999945748,1933.8564829999995709,408.03307399999869176,1936.3591380000002573,406.0144980000011401,2708.3378290000155175
101,370.85636199999783003,583.31777099999726488,4219.8579530000297382,357.50413999999966563,163.19140499999997473,200.39515124999996942,1545.1136650000023565,1948.1810049999949115,410.59483100000090872,1950.6136620000092989,408.92102499999793963,2719.1442639999931998
102,371.63132599999926242,572.35078299999736373,4240.2345579999973779,353.84534800000011501,200.58552290000017138,225.73731000000009317,1547.532306000007793,1951.2261739999985366,410.66369800000046553,1953.592262000000801,408.58025300000019797,2731.3427569999930711
103,372.85953100000313043,568.6985019999965516,4280.7599600000121427,361.56272399999875233,207.09135229999998273,221.65567606250002086,1553.1564079999925525,1957.7293279999992137,413.18384399999888501,1959.9125499999986459,410.90365600000211543,2753.8800610000180313
104,375.94022299999710413,559.57594099999846549,4263.6839790000067296,359.5202740000012227,195.0142146499999285,202.10167993750005166,1564.9605159999991884,1972.9766800000020339,413.6004880000001549,1975.1154379999748016,411.40040899999871726,2759.6381939999901078
105,377.46111600000278941,560.31695600000125523,4303.3506729999544405,363.90619799999865336,193.97805080000000544,204.72810268749995544,1571.7905040000061945,1981.6137950000154433,414.89393699999868659,1983.9980330000059894,413.6638629999999921,2766.9669850000104816
106,382.29946099999881426,580.41782699999794204,4298.1427180000082444,379.07888400000189222,175.9760239999999385,204.76891956249997406,1590.1544749999914075,2004.3287719999796082,417.94572700000287568,2006.6261030000021037,415.53307399999891913,2787.1626259999970898
107,383.63942799999858835,599.47020999999972446,4322.8210479999797826,372.89881099999888647,182.49302110000007815,185.87486437500001557,1595.2180820000023687,2010.3833560000055058,418.43588999999781208,2012.4776080000117418,418.28403100000241466,2803.3901000000014392
108,384.7376870000011877,618.36349800000084542,4329.533077999996749,367.7451520000012124,200.44372685000001866,210.55282912500007342,1599.4453859999994165,2015.6279520000168759,421.14351700000088385,2018.0266429999846878,425.77009399999712969,2806.4336660000035408
109,387.01506099999960497,601.33435799999551818,4409.8433270000332413,378.7165240000014137,186.73657830000001923,232.79531331249992832,1609.1832130000084362,2028.4629820000077416,421.82973899999967671,2030.7344720000060079,419.38216000000136319,2814.1619459999847095
110,391.08711600000134467,600.50276999999846339,4388.5799050000287025,372.46103500000060649,205.90827190000001679,214.70141499999994039,1625.2476869999982227,2047.7543129999844496,424.24069200000144519,2050.5644929999962187,422.26709199999845623,2836.1623110000095949
111,393.17027999999965004,637.86363500000220483,4442.5747760000149356,377.30157400000052803,199.93817175000003772,211.64644825000002015,1634.581467999993265,2059.3674810000093203,427.35603899999932764,2062.7000000000066393,424.03769700000282228,2854.8630899999807298
112,399.35150899999882768,648.03219499999897835,4420.9621390000393149,389.37242500000127166,227.36652115000009644,215.06150525000001039,1650.8821010000076512,2080.3587070000162385,428.76383999999848129,2083.0766059999914432,425.71601499999900398,2873.7036800000055337
113,402.24186400000053254,606.73020800000188046,4474.1844220000075438,382.05361099999993257,190.76982354999998392,237.19130831250012648,1679.6597129999922799,2102.319854999990639,433.24329800000072055,2105.2473100000097475,428.8351470000009158,2896.3766330000171365
114,403.05416600000046401,602.11565200000200093,4479.4224429999758286,396.84558100000089098,192.89969600000000582,193.65178900000012163,1764.4483349999973143,2117.6375320000033753,433.27698999999950047,2111.2278409999871656,430.55129499999367226,2907.0993009999883725
115,407.32508099999972728,634.11351699999590892,4506.2181019999916316,390.14171499999861226,212.65653830000016455,219.11430262499987975,1689.2581800000102703,2128.756496999983483,437.69251399999831165,2131.2600109999948472,434.82751999999891268,2936.3045370000122603
116,411.15380300000128955,629.41557199999920158,4543.5766940000230534,392.29583100000195373,209.2209116500001187,242.47208912500008182,1705.4049939999913477,2147.8951340000094206,439.75687900000082209,2150.3216600000032486,437.01079300000600369,2964.5462510000015754
